"filename", "language", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "TypeScript React", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\searchTeam\components\teamCardSearch\TeamCardSearch.tsx", "TypeScript React", 0, 0, 0, 0, 113, 0, 0, 0, 0, 34, 147
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\searchTeam\components\teamCardSearch\dto\RequestJoinDTO.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\searchTeam\components\teamCardSearch\styles.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 0, 0, 0, 23, 128
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\searchTeam\styles.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 0, 0, 0, 18, 113
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\TeamAreaBoard.tsx", "TypeScript React", 0, 0, 0, 0, 113, 0, 0, 0, 0, 25, 138
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\columnContainer\ColumnContainer.tsx", "TypeScript React", 0, 0, 0, 0, 55, 0, 0, 0, 1, 9, 65
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\columnContainer\snapshot\dragOverStyle.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 1, 7
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\columnContainer\styles.ts", "TypeScript", 0, 107, 0, 0, 0, 0, 0, 0, 3, 29, 139
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\loading\Loading.tsx", "TypeScript React", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\loading\styles.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\newTaskModal\BaseModal.tsx", "TypeScript React", 0, 0, 0, 0, 35, 0, 0, 0, 1, 5, 41
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\newTaskModal\NewTaskModal.tsx", "TypeScript React", 0, 0, 0, 0, 97, 0, 0, 0, 0, 24, 121
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\newTaskModal\overlay.css", "CSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\newTaskModal\styles.ts", "TypeScript", 0, 143, 0, 0, 0, 0, 0, 0, 3, 20, 166
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\taskCard\TaskCard.tsx", "TypeScript React", 0, 0, 0, 0, 60, 0, 0, 0, 1, 14, 75
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\taskCard\snapshot\draggingStyle.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\components\taskCard\styles.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 15, 89
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamAreaBoard\styles.ts", "TypeScript", 0, 125, 0, 0, 0, 0, 0, 0, 3, 23, 151
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamDashboard\TeamDashboard.tsx", "TypeScript React", 0, 0, 0, 0, 95, 0, 0, 0, 0, 19, 114
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\pages\teamDashboard\components\areaCard\AreaCard.tsx", "TypeScript React", 0, 0, 0, 0, 26, 0, 0, 0, 0, 8, 34
